ATM 1;5,5493053;95,3103713
ATM 2;5,5331188;95,2897988
ATM 3;5,5530133;95,3152305
ATM 4;5,5372323;95,3301064
ATM 5;5,545109;95,3350968
ATM 6;5,5697709;95,3217379
ATM 7;5,5669807;95,3250644
ATM 8;5,566092;95,3533503
ATM 9;5,5518748;95,3491846
ATM 10;5,4756931;95,2443314
ATM 11;5,3851432;95,5226706
ATM 12;5,3587169;95,578841
ATM 13;5,5672121;95,3839561
ATM 14;5,5841195;95,3947707
ATM 15;5,5989452;95,3773538
ATM 16;5,5961947;95,3732194
ATM 17;5,6140103;95,3980242
ATM 18;5,5325329;95,3939937
ATM 19;5,5114704;95,3575979
ATM 20;5,5106998;95,3573695
ATM 21;5,4725082;95,3895843
ATM 22;5,4926349;95,3746528
ATM 23;5,5157944;95,3233349
ATM 24;5,5130964;95,3034274
ATM 25;5,5129126;95,3376247
ATM 26;5,5333259;95,2788969
ATM 27;5,8870546;95,3298916
ATM 28;5,2495463;96,0124861
ATM 29;5,2508675;96,0416837
ATM 30;5,276692;95,9809904
ATM 31;5,2737976;95,9852038
ATM 32;5,0178711;95,9184377
ATM 33;5,2455498;95,9327384
ATM 34;5,2516412;95,9428474
ATM 35;5,3731971;95,845584
ATM 36;5,3808791;95,911242
ATM 37;5,3810045;95,9158106
ATM 38;5,315994;95,9603071
ATM 39;5,3463322;95,9649413
ATM 40;5,3798381;95,9532548
ATM 41;5,5638056;95,3298805
ATM 42;5,0874813;95,3649586
ATM 43;4,1462055;96,1278431
ATM 44;4,1491988;96,1253452
ATM 45;4,1442062;96,1280891
ATM 46;4,1457776;96,1278923
ATM 47;4,2106881;96,0686626
ATM 48;4,1182579;96,2942158
ATM 49;4,1128529;96,2898858
ATM 50;4,2322273;96,3091364
ATM 51;4,1771714;96,3071356
ATM 52;4,2417167;96,3206758
ATM 53;3,9046288;96,6981074
ATM 54;3,0879849;97,3357674
ATM 55;3,2534128;97,1794702
ATM 56;3,2533085;97,1748318
ATM 57;3,3291407;97,1254572
ATM 58;4,2819683;98,0612735
ATM 59;4,163073;97,9583274
ATM 60;4,3994906;98,0678669
ATM 61;4,616837;96,8179901
ATM 62;4,9524899;97,7693188
ATM 63;4,9506196;97,7704915
ATM 64;5,0418136;97,6279896
ATM 65;5,1147118;97,4625364
ATM 66;4,8090639;97,8917795
ATM 67;4,7985974;97,8918866
ATM 68;4,7727704;97,8911911
ATM 69;4,8055123;97,7995838
ATM 70;5,0973654;97,537635
ATM 71;4,944115;97,3632195
ATM 72;5,2352332;97,0288199
ATM 73;5,2364886;97,0247099
ATM 74;5,0415092;97,3208158
ATM 75;5,0417893;97,3208148
ATM 76;5,0583793;97,2041287
ATM 77;5,1703928;97,011548
ATM 78;5,1155705;97,4595239
ATM 79;5,0576952;97,259954
ATM 80;5,1301295;97,2478063
ATM 81;4,7484949;96,9131829
ATM 82;4,7194952;96,8722547
ATM 83;4,7231008;96,8738994
ATM 84;4,7581682;96,7638364
ATM 85;4,7271238;96,7915301
ATM 86;4,7221371;96,8076096
ATM 87;5,2330425;96,8911189
ATM 88;5,1206191;96,7146938
ATM 89;5,2020321;96,6994038
ATM 90;5,1863013;96,471938
ATM 91;5,2071395;96,3661036
ATM 92;5,1876869;96,3647646
ATM 93;3,9988889;97,3410645
ATM 94;3,9922444;97,342559
ATM 95;3,986104;97,3442577
ATM 96;4,4805116;97,9741422
ATM 97;4,4710758;97,9734772
ATM 98;4,4679964;97,9738988
ATM 99;4,4758643;97,9591822
ATM 100;5,1777079;97,1499468
ATM 101;5,1747277;97,1285687
ATM 102;5,2377415;96,9140087
ATM 103;5,2555779;96,0616656
ATM 104;5,1970098;96,3201258
ATM 105;5,1976852;96,3169572
ATM 106;5,2026643;96,3143289
ATM 107;5,257078;96,1841906
ATM 108;3,5327799;98,6210692
ATM 109;3,5258324;98,6336158
ATM 110;3,5756292;98,6998822
ATM 111;3,5877387;98,7044635
ATM 112;3,5871116;98,6947626
ATM 113;3,5496227;98,6881955
ATM 114;3,5806767;98,6598965
ATM 115;3,5407108;98,6280365
ATM 116;3,5602044;98,636693
ATM 117;3,5764101;98,6432602
ATM 118;3,5631365;98,6388123
ATM 119;3,60528;98,5798559
ATM 120;3,5934331;98,633659
ATM 121;3,6205057;98,6675933
ATM 122;3,6129096;98,6805611
ATM 123;3,6203608;98,6808299
ATM 124;3,5939503;98,6831848
ATM 125;3,6572964;98,6767137
ATM 126;3,6784813;98,6719634
ATM 127;3,7121622;98,6612583
ATM 128;3,6857726;98,6560694
ATM 129;3,2875481;98,5598387
ATM 130;3,6992736;98,5066891
ATM 131;3,6740622;98,6905327
ATM 132;3,6053774;98,4863659
ATM 133;3,6354963;98,4879539
ATM 134;3,6163393;98,4978466
ATM 135;3,7619056;98,4568509
ATM 136;3,7507063;98,4666633
ATM 137;3,780435;98,4295229
ATM 138;3,8027711;98,4245504
ATM 139;3,8965503;98,4213417
ATM 140;4,0101087;98,2937499
ATM 141;4,02314;98,2972063
ATM 142;4,0360928;98,1719028
ATM 143;4,1138785;98,2160917
ATM 144;3,5170079;97,8042538
ATM 145;3,2289044;98,0095856
ATM 146;3,07355;98,2496526
ATM 147;3,0989352;98,4842629
ATM 148;2,9497161;98,5229565
ATM 149;3,1191096;98,5694997
ATM 150;3,1445283;98,4645329
ATM 151;3,4867706;97,8116624
ATM 152;3,4820618;97,8132059
ATM 153;3,4016396;97,8992023
ATM 154;3,4417599;97,8652227
ATM 155;2,6637079;99,514316
ATM 156;2,0200596;98,4139424
ATM 157;1,6760607;98,8280584
ATM 158;1,7038407;98,8249057
ATM 159;1,7234238;99,9194516
ATM 160;1,7871752;100,2071979
ATM 161;1,9002201;99,9309895
ATM 162;1,9453641;100,2592945
ATM 163;2,038783;100,1386951
ATM 164;2,1947449;100,0428238
ATM 165;2,2615215;99,8818079
ATM 166;2,2974851;99,744139
ATM 167;2,2613827;99,7703879
ATM 168;2,6517887;99,6325234
ATM 169;2,3531829;100,1116983
ATM 170;2,4761645;99,6359201
ATM 171;2,0845221;99,8512388
ATM 172;2,0943506;99,8612221
ATM 173;2,0391191;99,8751745
ATM 174;2,0678141;99,8584447
ATM 175;1,0629929;100,077097
ATM 176;1,0501945;99,7505289
ATM 177;1,0527424;99,7298197
ATM 178;1,0535507;99,7298577
ATM 179;1,1224398;99,7573559
ATM 180;1,0562565;99,7334705
ATM 181;1,6022172;99,2741537
ATM 182;1,4136811;99,2848433
ATM 183;1,5107652;99,6259405
ATM 184;1,5156668;99,6286403
ATM 185;1,3145942;99,3196269
ATM 186;1,391963;99,2551289
ATM 187;1,3842751;99,2702713
ATM 188;1,3896284;99,2595225
ATM 189;0,6475264;99,7415891
ATM 190;0,6508644;99,7644485
ATM 191;0,848615;99,5623242
ATM 192;0,582011;99,108857
ATM 193;0,9596851;99,523043
ATM 194;2,9955359;99,7081478
ATM 195;2,9821253;99,629003
ATM 196;2,9809818;99,6266713
ATM 197;2,9809237;99,6286627
ATM 198;2,9694138;99,6292577
ATM 199;2,9841806;99,6657001
ATM 200;2,9805853;99,6328675
